Class,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
1,-2.312226542,1.951992011,-1.609850732,3.997905588,-0.522187865,-1.426545319,-2.537387306,1.391657248,-2.770089277,-2.772272145,3.202033207,-2.899907388,-0.595221881,-4.289253782,0.38972412,-1.14074718,-2.830055675,-0.016822468,0.416955705,0.126910559,0.517232371,-0.035049369,-0.465211076,0.320198199,0.044519167,0.177839798,0.261145003,-0.143275875,0
1,-4.696795224,2.693867479,-4.475132713,5.467684549,-1.556758075,-1.549420289,-4.104214873,0.553934075,-1.498468131,-4.594951763,5.275505851,-11.34902855,0.374549235,-8.138694884,0.548570894,-6.653594347,-10.24675541,-4.191066267,0.991486122,-0.158970549,0.573898081,-0.080162775,0.318407817,-0.245862203,0.338238432,0.032270621,-1.508457934,0.608074683,0
1,0.287952772,1.728734645,-1.652173046,3.813544188,-1.090927154,-0.984744666,-2.202317927,0.555087932,-2.033892048,-2.734155555,2.368433673,-3.656802651,-0.169534683,-4.74441333,0.765192829,-2.479513556,-4.931111968,-2.547402527,-0.902689803,0.26525021,0.26220151,-0.633527564,0.09289101,0.187612656,0.368708354,-0.132474029,0.576560757,0.309842705,0
1,-10.64579965,5.918306659,-11.67104259,8.807369179,-7.975501366,-3.586806344,-13.61679705,6.428169346,-7.368451293,-12.88815829,6.854953114,-13.21169503,1.035612343,-13.77895564,1.040448355,-11.29032781,-20.57802205,-7.547824112,3.118479766,-0.046170179,2.571969593,0.206809359,-1.6678014,0.558418754,-0.027897877,0.354253782,0.273328727,-0.152908081,0
1,-1.739340964,1.344520789,-0.534379047,3.195291499,-0.416196142,-1.261960668,-2.340990939,0.713003646,-1.416264999,-2.996669302,0.747478136,-4.596611512,-1.927759702,-4.757074499,-1.247814819,-2.535494251,-5.356464544,-1.974748525,-0.603726269,0.002749478,0.383180108,-0.213952218,-0.336639825,0.237076301,0.246002932,-0.044227636,0.510729075,0.220951594,0
1,1.079523978,0.872988039,-0.303850487,2.755368851,0.301687623,-0.350283737,-0.042847968,0.246624608,-0.779175596,-0.157696446,1.928567632,-0.935863286,-2.431446445,-1.633472024,0.534336653,1.425605504,1.593528786,1.178467846,-1.568697558,-0.252115099,-0.023254785,-0.158600834,-0.038806158,-0.060327255,0.358338898,0.07698357,0.018935832,0.060574149,0
1,1.08043337,0.962830681,-0.278065478,2.743318063,0.412364076,-0.320778353,0.041289549,0.1761703,-0.966951551,-0.194120467,2.140056816,-0.276308753,-1.191305738,-1.880275403,0.398271956,1.367433022,1.5226617,1.026317483,-1.577070478,-0.172658645,-0.008996174,-0.057036144,-0.053691509,-0.026373277,0.400299731,0.072827771,0.027042934,0.063237573,0
1,-0.937843305,3.46288949,-6.445103954,4.932198666,-2.23398307,-2.291561121,-5.695593929,1.338824634,-4.322376553,-8.099119398,7.182967009,-9.445943382,-0.314619968,-12.99146558,-0.136358932,-6.367524375,-12.73439389,-3.845129659,1.00766726,1.129532281,1.066550249,-0.521657289,-0.319917293,-0.405859088,0.90680216,1.16578389,1.374495332,0.729889342,0
1,-0.937843305,3.46288949,-6.445103954,4.932198666,-2.23398307,-2.291561121,-5.695593929,1.338824634,-4.322376553,-8.099119398,7.182967009,-9.445943382,-0.314619968,-12.99146558,-0.136358932,-6.367524375,-12.73439389,-3.845129659,1.00766726,1.129532281,1.066550249,-0.521657289,-0.319917293,-0.405859088,0.90680216,1.16578389,1.374495332,0.729889342,0
1,-7.030308144,3.421990905,-9.525071773,5.270891009,-4.024630276,-2.865681618,-6.989194734,3.791550938,-4.622730336,-8.409664876,6.309044006,-8.576761433,0.246746717,-11.53404602,-0.364265139,-5.452494658,-11.88757002,-3.56358481,0.876018768,0.545698041,1.103397745,-0.541854752,0.036943222,-0.355519004,0.353634382,1.042457993,1.359515632,-0.272188101,0
1,-7.030308144,3.421990905,-9.525071773,5.270891009,-4.024630276,-2.865681618,-6.989194734,3.791550938,-4.622730336,-8.409664876,6.309044006,-8.576761433,0.246746717,-11.53404602,-0.364265139,-5.452494658,-11.88757002,-3.56358481,0.876018768,0.545698041,1.103397745,-0.541854752,0.036943222,-0.355519004,0.353634382,1.042457993,1.359515632,-0.272188101,0
1,-28.25505289,21.46720299,-26.87133878,11.73743614,-17.99963029,6.065901352,-41.50679608,-38.98726274,-13.43406632,-24.40318497,3.40932262,-9.608267356,-3.076317968,0.240060358,-2.836676932,-6.594756992,-12.95753099,-5.61352195,-0.248828402,10.44071798,-21.45373628,8.361985192,4.909111121,0.098327945,-1.508739121,0.00871129,-5.407823639,-0.183811045,0
1,-1.929596927,4.066413278,-4.86518401,5.898602293,-0.552492585,-1.555962453,-3.833623441,0.679511649,-3.463765491,-6.683689229,7.021277748,-11.10249338,1.711755074,-10.44763294,-2.799076159,-6.26174085,-11.64715777,-3.451436142,-0.507536514,0.942488942,1.137211647,0.674245235,-0.531765489,-0.433409351,0.378658562,0.198107291,0.869694412,0.228047852,0
1,-5.60369028,5.222192708,-7.516829977,8.117724276,-2.756857953,-1.574564622,-6.33034325,2.998418881,-4.508166893,-7.334377084,7.188723965,-10.65518091,2.594679861,-10.24285908,-0.191158119,-5.50433407,-8.697777413,-1.934225362,1.958749932,0.227525995,1.242896206,0.428408392,-0.101183595,-0.520199121,-0.176937757,0.461449983,-0.106625181,-0.479661948,0
1,-4.991757794,5.213339823,-9.111326298,8.431986352,-3.435515672,-1.827565102,-7.114302844,3.431206631,-3.87564287,-6.868508507,7.15062517,-10.26298404,2.733084936,-10.12752478,-0.262783621,-5.190271038,-8.65571104,-2.024443474,1.56047928,0.098132192,1.189422839,0.247858476,0.29444833,-0.548503502,-0.174616567,0.406702503,-0.402339273,-0.882885795,0
1,0.745153217,2.809298874,-5.825406357,5.835566426,0.512319881,-0.615622343,-2.916575644,0.776710042,-1.87883185,-4.546935751,4.698795496,-8.507785707,0.718249309,-7.628710147,-2.249578483,-2.558668617,-5.304623663,-0.956938449,-0.585321852,0.402836754,0.28484071,-0.874383479,-0.083995045,-0.651441658,0.454593824,0.050375898,0.756952563,0.383868939,0
1,0.224414467,2.994498576,-3.432458196,3.986518932,3.760232949,0.165640146,1.099377709,-0.654557103,-2.435415653,-2.276733073,1.846078517,-1.9611946,-0.851166387,-7.122316384,1.0196049,2.131014672,6.443649145,1.592538191,-3.681903552,-0.200846281,0.491337125,-0.984222623,-0.421979358,-1.048057894,0.72641152,0.268624638,0.283689474,0.419101636,0
1,1.183931209,3.057250305,-6.161997335,5.543972483,1.61704137,-1.848006038,-1.005508101,0.339936724,-2.959806282,-3.851721665,4.51335526,-4.858311644,-1.765734193,-10.00624343,-0.439394417,0.574874857,0.188469553,1.649223521,-1.796738631,0.252571164,0.109184861,-0.931071823,-0.06417504,-0.00701252,0.345419479,0.064557748,0.476629439,0.323740181,0
1,1.176632673,3.141918139,-6.140444836,5.521820589,1.768514889,-1.727185698,-0.93242891,0.292796545,-3.156826558,-3.898240381,4.77672033,-4.15249885,-0.472990803,-10.25885148,-0.533455592,0.458138563,0.167601789,1.404310894,-1.874015263,0.329567973,0.12937163,-0.803020814,-0.074098356,-0.031084405,0.375366225,0.065896784,0.488257739,0.32587163,0
1,1.204934242,3.238069511,-6.010324404,5.720846677,1.548399778,-2.321063516,-0.781880413,0.076619238,-2.976249051,-4.070256863,3.394152086,-4.547742185,-0.063634196,-10.51646521,0.053267384,0.204079529,0.462929331,0.841169059,-2.221383853,0.338160709,0.09834147,-0.84586592,-0.031227769,0.42114641,0.388361412,0.056034744,0.491827823,0.340846686,0
1,0.457845399,1.373769481,-0.488926009,2.805350941,1.77738606,0.10049206,1.29501592,-0.135857218,-1.695822456,0.955004467,-1.702228401,-0.240056328,0.456475053,0.139567417,-1.890974493,0.372379299,-0.798201085,-0.697061608,-1.497152233,-0.264704752,0.105593016,0.371014424,0.051104717,0.401524197,-0.724765817,-0.202880696,0.092123881,0.094955854,0
1,-6.423306456,1.658514509,-5.866439564,2.052064402,-0.615816843,-3.372265711,-5.036555755,2.643106015,-2.274630047,-7.04922936,3.916802557,-4.481279599,-1.027479327,-7.113872782,-0.85277523,-3.839559974,-5.056009988,-1.344497531,1.148472939,-0.713515811,0.641210916,-0.256678382,-2.337232764,-0.158277898,1.198797445,-0.261257807,0.780125484,-0.731800816,0
1,-1.053839609,4.362800684,-6.023533637,5.304534323,1.480738298,-2.193821452,-1.530816792,0.626857424,-4.037021409,-6.285424475,3.536145482,-7.959628432,-1.673428523,-12.45799893,-0.21388479,-1.424131271,-3.243685932,0.059956108,-1.802332497,0.531574093,0.397954324,-0.945401783,-0.376137523,-0.22048042,0.264002965,0.048934775,0.84721984,0.531931799,0
1,-2.219218602,0.727831411,-5.458229947,5.924849847,3.932463824,-3.085984237,-1.677869988,0.86507461,-3.177260289,-3.419207384,3.693173942,-3.978439755,-1.718590875,-8.636297394,-0.242964821,1.174884173,2.134606357,2.594364833,-1.25758898,0.964771804,0.417471746,-0.817343384,-0.028752402,0.025722511,-0.825835343,-0.01308903,0.413291189,-0.131387346,0
1,1.184891123,3.152084205,-6.134779825,5.531252206,1.733866514,-1.816861466,-0.916696278,0.265568287,-3.158014235,-3.890169242,4.736593843,-4.162115192,-0.456696779,-10.26675811,-0.583018263,0.513470571,0.113665406,1.488620359,-1.805576714,0.336441866,0.124235616,-0.82386465,-0.079887356,0.02882779,0.389711469,0.060171071,0.485186935,0.326551572,0
1,-0.613695895,3.698772414,-5.534941162,5.620486385,1.64926285,-2.335144981,-0.907188473,0.706362095,-3.747646125,-4.230983836,4.436319074,-4.503801216,-0.954361346,-9.861372108,-0.505329037,0.269281953,0.591319064,1.79599192,-1.08520791,0.354772933,0.319260754,-0.471378905,-0.075890411,-0.667909265,-0.642848416,0.070600107,0.488409528,0.292344974,0
1,-5.766878735,-8.402153678,0.056543246,6.950982945,9.880564026,-5.773191769,-5.748879199,0.721742894,-1.076273579,2.688669933,-1.475145316,-0.050467984,0.113500475,0.984343616,0.363968739,-0.674356809,0.327463514,0.091469915,1.307940738,2.493223891,0.880395097,-0.130435548,2.241471414,0.665345537,-1.890041422,-0.120802764,0.073268559,0.583799418,0
0,-1.451765466,1.36666993,2.351334014,3.005840135,-0.836954788,3.10796056,-2.433099315,-1.295673592,0.103538232,-0.4036364,-2.990377244,-0.233987026,-0.574123258,-0.528513595,-0.810501779,-0.219459232,0.860065989,0.442718347,1.281675662,0.760353704,-1.207727699,1.046907087,-0.236058298,-1.282084002,0.280140292,0.656391013,0.274135749,0.122096337,0
0,2.062402588,-0.144359518,-1.753899276,0.257248453,0.339680671,-0.718033652,0.242207083,-0.139388438,0.334562605,0.31781173,0.569501375,0.203806387,-1.702348377,0.894923698,-0.94134452,-0.28575989,-0.247139957,-0.144192497,0.498437674,-0.30485983,-0.007368081,0.057058976,0.127563455,0.782996493,0.113655369,0.5104679,-0.114359844,-0.083633406,0
0,-0.159448806,0.415010436,1.452230746,4.863829333,1.202725694,0.360909194,-0.007072648,-0.073750813,-1.14663245,1.680763052,-1.689065549,-0.421521197,0.296859577,-0.44697072,-0.783455233,-0.8170117,0.392293299,0.042437922,1.476975888,0.369135028,0.240608536,1.045121132,-0.023966614,-0.061518057,-0.935108323,0.414721059,0.118701623,0.044597495,0
0,1.151038038,0.192985287,1.093534953,1.047658052,-0.736774018,-0.41774546,-0.35777719,0.067002879,0.016423795,0.116403634,1.56626665,1.202452465,0.384958296,0.242586403,0.535199908,0.609166238,-0.812476391,0.427437644,-0.283345278,-0.107653229,0.008119608,0.034498225,0.07079165,0.513267762,0.277337972,-0.542402541,0.049143228,0.028962643,0
0,2.068433053,-0.190218215,-1.755184393,0.282224527,0.242081515,-0.857940789,0.243581237,-0.158233023,0.44602714,0.332005927,0.227816805,-0.119162878,-2.161843196,0.992776851,-0.85710362,-0.242643333,-0.269995284,-0.089759587,0.554876072,-0.361968218,-0.025274329,0.029984892,0.059486316,-0.389013635,0.111397444,0.574004615,-0.10993571,-0.095993609,0
0,1.341757309,0.138893066,-0.23478968,0.486042796,0.051524719,-0.552832966,0.183499105,-0.182220011,0.305344394,-0.095784549,-1.393000741,-0.248552979,-0.469718155,0.24730663,0.173980497,-0.060164732,-0.286637388,-0.295302734,0.449138636,-0.138176126,-0.13034103,-0.233692556,-0.20438197,-0.408054598,0.758553471,0.608904956,-0.056702007,-0.009135694,0
1,-1.271244192,2.462675269,-2.851395003,2.324480065,-1.37224489,-0.948195687,-3.065234362,1.166926948,-2.268770588,-4.881142927,2.255147489,-4.686386898,0.652374669,-6.174288348,0.594379608,-4.849692387,-6.536520735,-3.119093882,1.71549442,0.560478076,0.652941051,0.081930976,-0.221347831,-0.523582159,0.224228162,0.756334523,0.632800477,0.250187093,0.01
1,-3.765680122,5.890735238,-10.20226763,10.25903598,-5.611448417,-3.235375579,-10.63268348,3.272716326,-5.268905243,-11.18212545,8.879475668,-18.43113103,-0.232822028,-15.0216573,0.141186253,-12.1863625,-20.16556738,-7.051651353,2.500827208,1.194137321,2.245605934,0.546320675,0.381853428,0.382024544,-0.821036495,0.39435512,1.412960993,0.782407054,0.01
1,-28.70922925,22.05772899,-27.85581113,11.84501291,-18.98381258,6.474114627,-43.55724157,-41.04426092,-13.32015469,-24.58826244,3.481951803,-9.128341286,-3.008255478,0.796579962,-2.102298521,-5.660366441,-13.03278496,-5.392349174,-0.901040818,11.05900429,-22.79760391,8.316275439,5.466229954,0.02385423,-1.527144723,-0.145225187,-5.68233824,-0.439133675,0.01
1,-1.298443233,1.948100449,-4.509946888,1.305804767,-0.019485927,-0.509237784,-2.643397619,1.283545194,-2.515355703,-4.50131481,2.09307501,-5.418888944,-1.247013712,-3.828268179,0.399050337,-6.366499509,-7.550968092,-4.902766666,0.152892032,0.250415437,1.17803195,1.360988581,-0.27201306,-0.325947896,0.290702673,0.841294588,0.643094249,0.20115575,0.01
1,-5.488032171,3.329560681,-5.996296087,3.601719636,-2.023926036,-1.737393477,-4.39685932,0.228394068,-1.675883923,-3.991784632,3.737037681,-6.15018667,0.288738071,-8.760694519,2.344651195,-5.145637851,-6.293478628,-2.137186601,2.995244755,-0.551121115,1.71963126,0.34320916,0.133583642,0.833339534,-0.839775663,0.502009639,-1.937472846,1.521218373,0.01
0,-1.144120778,1.375674004,2.219960234,3.008752913,-0.148597727,0.402068096,0.14092173,0.442034704,-1.042516955,0.686740964,-0.397004445,-0.042805998,-0.176453586,-0.000914152,0.414901243,-0.833630854,0.880954987,-0.847278021,0.78099982,0.135639141,-0.236270663,-0.341659882,0.10223912,0.376007455,0.048960226,0.10175166,-0.040490512,-0.157988234,0.01
0,1.171620756,0.069265442,1.315802705,1.325850805,-0.885902548,-0.18053834,-0.507002772,0.038648174,0.746356204,-0.22580159,-0.625043338,0.995821488,0.997946803,-0.554058227,0.071134018,0.031251622,-0.303405282,-0.183133011,-0.215112493,-0.091161747,-0.056953297,0.110801756,-0.007505443,0.421991677,0.451058536,-0.411504745,0.080557747,0.038789327,0.01
1,-0.114360704,1.036129402,1.984405261,3.128243274,-0.74034356,1.548618696,-1.701283955,-2.203841748,-1.242264775,0.269561809,1.293418297,0.933215784,-0.135325961,0.52148369,0.386884188,0.059868954,0.306339379,0.265051989,0.223718288,0.732852498,-1.032934652,1.19642831,-0.112856718,0.254718993,0.696667886,0.482370417,0.129969314,0.223924334,0.2
1,-3.387601029,3.977880741,-6.978585065,1.657765845,-1.100499733,-3.599486973,-3.68665071,1.942252225,-3.065089267,-7.509557474,2.989626407,-5.993632424,-0.164740078,-8.388442969,0.042128998,-4.137500501,-6.103903073,-1.972927803,0.434072537,-0.00430059,1.043587159,0.262188674,-0.479223921,-0.3266382,-0.15693859,0.113806571,0.35412426,0.287592125,0.38
0,-2.17336487,1.926508439,0.275903354,-1.695379132,0.141694845,0.653594866,-0.091944018,0.595138215,0.992029642,0.59386871,0.002033943,0.871161761,0.529069099,-0.237225364,-0.257800655,0.555444949,-1.028940306,0.503208994,0.382288693,0.339822908,-0.112309181,-0.494963704,-0.047950087,-0.244821977,-0.058624219,-0.317975139,-0.286462123,0.294089568,0.54
0,1.199058112,-0.224070963,0.568230854,-0.213763221,-0.677824067,-0.271511714,-0.489149383,0.20208953,0.353935105,-0.044172685,1.442924219,0.219013918,-1.438468771,0.645764989,0.962902741,0.378443868,-0.252801581,-0.193405718,-0.02966725,-0.183368208,-0.072423323,-0.264534894,0.132384265,0.02770748,-0.034407152,0.922416481,-0.067263941,-0.00768954,0.67
